Code_Commune;Poste_source
1001;1038.0
1002;1039.0
1004;349.0
1005;775.0
1006;747.0
1007;1039.0
1008;349.0
1009;747.0
1010;1196.0
1011;1157.0
1012;718.0
1013;718.0
1014;300.0
1015;747.0
1016;1432.0
1017;718.0
1019;718.0
1021;746.0
1022;749.0
1023;1454.0
1024;576.0
1025;1454.0
1026;1454.0
1027;2192.0
1028;775.0
1029;1910.0
1030;746.0
1031;1157.0
1032;2192.0
1033;1543.0
1034;747.0
1035;300.0
1036;749.0
1037;1694.0
1038;1126.0
1039;749.0
1040;576.0
1041;349.0
1042;1828.0
1043;1919.0
1044;1543.0
1045;2192.0
1046;1038.0
1047;316.0
1049;2192.0
1050;576.0
1051;1037.0
1052;775.0
1053;1184.0
1054;377.0
1056;1039.0
1057;1454.0
1058;485.0
1059;1196.0
1060;1037.0
1061;747.0
1062;2192.0
1063;1037.0
1064;1694.0
1065;1943.0
1066;718.0
1067;1037.0
1068;1039.0
1069;1101.0
1071;789.0
1072;1184.0
1073;749.0
1074;377.0
1075;1185.0
1076;718.0
1077;1037.0
1078;590.0
1079;749.0
1080;718.0
1081;590.0
1082;1196.0
1083;1927.0
1084;1038.0
1085;775.0
1087;1157.0
1088;377.0
1089;349.0
1090;349.0
1091;1543.0
1092;349.0
1093;775.0
1094;1432.0
1095;1126.0
1096;1038.0
1097;749.0
1098;747.0
1099;377.0
1100;747.0
1101;1037.0
1102;1454.0
1103;150.0
1104;590.0
1105;1987.0
1106;1037.0
1107;718.0
1108;1910.0
1109;590.0
1110;747.0
1111;718.0
1112;1037.0
1113;1101.0
1114;1543.0
1115;1038.0
1116;747.0
1117;747.0
1118;1196.0
1119;718.0
1121;1039.0
1122;718.0
1123;1828.0
1124;1910.0
1125;1126.0
1127;1126.0
1128;1432.0
1129;377.0
1130;576.0
1133;747.0
1134;1828.0
1135;789.0
1136;1828.0
1138;749.0
1139;1432.0
1140;576.0
1141;747.0
1142;2192.0
1143;789.0
1144;576.0
1145;1101.0
1146;1038.0
1147;1910.0
1148;655.0
1149;349.0
1150;1126.0
1151;1039.0
1152;300.0
1153;789.0
1154;576.0
1155;718.0
1156;377.0
1157;1185.0
1158;590.0
1159;1454.0
1160;150.0
1162;749.0
1163;576.0
1165;577.0
1166;746.0
1167;1828.0
1169;1927.0
1170;1037.0
1171;1157.0
1172;1126.0
1173;789.0
1174;300.0
1175;1432.0
1176;1543.0
1177;1126.0
1179;1828.0
1180;789.0
1181;1157.0
1182;1693.0
1183;1927.0
1184;1037.0
1185;718.0
1186;718.0
1187;1543.0
1188;1038.0
1189;1543.0
1190;747.0
1191;1039.0
1192;1157.0
1193;485.0
1194;746.0
1195;1184.0
1196;576.0
1197;1184.0
1198;377.0
1199;1039.0
1200;1037.0
1202;349.0
1203;1038.0
1204;1543.0
1205;1543.0
1206;1039.0
1207;775.0
1208;749.0
1209;1543.0
1210;1111.0
1211;1101.0
1212;576.0
1213;349.0
1214;1037.0
1215;1543.0
1216;1693.0
1218;1196.0
1219;1694.0
1221;718.0
1224;1736.0
1225;577.0
1227;747.0
1228;1037.0
1229;576.0
1230;1432.0
1231;1454.0
1232;576.0
1233;1693.0
1234;747.0
1235;775.0
1236;576.0
1237;1157.0
1238;1987.0
1239;747.0
1240;1157.0
1241;1126.0
1242;1039.0
1243;577.0
1244;377.0
1245;1039.0
1246;1038.0
1247;789.0
1248;1987.0
1249;1919.0
1250;717.0
1252;1927.0
1254;1184.0
1255;1694.0
1257;1543.0
1258;1927.0
1259;1943.0
1260;2192.0
1261;1987.0
1262;2192.0
1263;1927.0
1264;1101.0
1265;1037.0
1266;576.0
1267;1037.0
1268;485.0
1269;1037.0
1271;737.0
1272;1038.0
1273;1039.0
1274;1037.0
1275;1919.0
1276;2192.0
1277;1039.0
1279;718.0
1280;718.0
1281;150.0
1282;1037.0
1283;300.0
1284;1454.0
1285;1987.0
1286;747.0
1288;590.0
1289;1184.0
1290;377.0
1291;1038.0
1292;1543.0
1293;1037.0
1294;737.0
1295;1927.0
1296;1910.0
1297;2192.0
1298;1157.0
1299;775.0
1300;1037.0
1301;1943.0
1302;747.0
1303;1039.0
1304;1039.0
1305;1432.0
1306;1828.0
1307;1037.0
1308;590.0
1309;1126.0
1310;747.0
1311;718.0
1312;1126.0
1313;150.0
1314;1039.0
1316;747.0
1317;1126.0
1318;1987.0
1319;775.0
1320;1454.0
1321;1184.0
1322;1987.0
1323;1454.0
1325;377.0
1328;775.0
1329;747.0
1330;718.0
1331;1039.0
1332;1454.0
1333;1987.0
1334;1038.0
1335;775.0
1336;1101.0
1337;1432.0
1338;1693.0
1339;717.0
1340;747.0
1341;747.0
1342;2192.0
1343;1038.0
1344;1943.0
1345;349.0
1346;576.0
1347;717.0
1348;1927.0
1349;377.0
1350;1126.0
1351;1927.0
1352;576.0
1353;717.0
1354;1111.0
1355;1038.0
1356;775.0
1357;1543.0
1358;747.0
1359;775.0
1360;1111.0
1361;316.0
1362;1987.0
1363;1039.0
1364;576.0
1365;1038.0
1366;316.0
1367;576.0
1368;1038.0
1369;1184.0
1370;1454.0
1371;2192.0
1372;749.0
1373;1037.0
1374;1039.0
1375;576.0
1376;1919.0
1378;316.0
1379;349.0
1380;1432.0
1381;775.0
1382;775.0
1383;1101.0
1384;718.0
1385;1101.0
1386;349.0
1387;576.0
1388;1432.0
1389;775.0
1390;316.0
1391;1910.0
1392;1157.0
1393;775.0
1396;1694.0
1397;789.0
1398;717.0
1399;150.0
1400;1694.0
1401;1111.0
1402;1432.0
1403;1694.0
1404;1037.0
1405;1101.0
1406;1432.0
1407;1196.0
1408;1126.0
1409;1196.0
1410;1037.0
1411;718.0
1412;1038.0
1413;1543.0
1414;718.0
1415;749.0
1416;718.0
1417;718.0
1418;2192.0
1419;1111.0
1420;1927.0
1421;349.0
1422;1184.0
1423;717.0
1424;1919.0
1425;1101.0
1426;1126.0
1427;717.0
1428;1927.0
1429;1038.0
1430;1039.0
1431;349.0
1432;1126.0
1433;1432.0
1434;775.0
1435;150.0
1436;789.0
1437;1432.0
1439;1454.0
1441;1037.0
1442;749.0
1443;775.0
1444;1694.0
1445;1126.0
1446;1185.0
1447;1126.0
1448;1543.0
1449;349.0
1450;377.0
1451;1943.0
1452;747.0
1453;749.0
1454;747.0
1456;749.0
1457;1038.0
2001;660.0
2002;1911.0
2003;539.0
2004;1449.0
2005;1203.0
2006;640.0
2007;1203.0
2008;1807.0
2009;527.0
2010;1807.0
2011;659.0
2012;539.0
2013;1203.0
2014;1911.0
2015;691.0
2016;1911.0
2017;1911.0
2018;1807.0
2019;518.0
2020;2187.0
2021;1449.0
2022;2185.0
2023;2185.0
2024;235.0
2025;518.0
2026;1602.0
2027;619.0
2028;235.0
2029;666.0
2030;344.0
2031;2029.0
2032;518.0
2033;235.0
2034;659.0
2035;640.0
2036;265.0
2037;619.0
2038;2029.0
2039;1469.0
2040;570.0
2041;660.0
2042;526.0
2043;265.0
2044;1449.0
2046;235.0
2047;235.0
2048;235.0
2049;660.0
2050;525.0
2051;800.0
2052;1807.0
2053;800.0
2054;1202.0
2055;2187.0
2056;518.0
2057;1473.0
2058;1202.0
2059;1911.0
2060;518.0
2061;1473.0
2062;526.0
2063;666.0
2064;539.0
2065;528.0
2066;2186.0
2067;525.0
2068;1469.0
2069;1449.0
2070;640.0
2071;659.0
2072;1203.0
2073;1203.0
2074;1911.0
2075;527.0
2076;1203.0
2077;539.0
2078;660.0
2079;2187.0
2080;619.0
2081;660.0
2082;2185.0
2083;2185.0
2084;690.0
2085;526.0
2086;660.0
2087;265.0
2088;235.0
2089;539.0
2090;691.0
2091;1202.0
2093;660.0
2094;526.0
2095;1473.0
2096;1469.0
2097;1449.0
2098;526.0
2099;691.0
2100;528.0
2101;1469.0
2102;1203.0
2103;525.0
2104;1203.0
2105;526.0
2106;1202.0
2107;660.0
2108;1807.0
2109;2187.0
2110;1202.0
2111;1807.0
2112;1473.0
2114;526.0
2115;1807.0
2116;1449.0
2117;518.0
2118;265.0
2119;2185.0
2120;1202.0
2121;691.0
2122;619.0
2123;527.0
2124;527.0
2125;691.0
2126;2029.0
2127;2185.0
2128;235.0
2129;2185.0
2130;2187.0
2131;265.0
2132;619.0
2133;1449.0
2134;2187.0
2135;570.0
2136;1469.0
2137;690.0
2138;539.0
2139;660.0
2140;660.0
2141;570.0
2142;2186.0
2143;528.0
2144;528.0
2145;660.0
2146;800.0
2147;1602.0
2148;1807.0
2149;2186.0
2150;235.0
2151;619.0
2152;1202.0
2153;619.0
2154;539.0
2155;1807.0
2156;235.0
2157;235.0
2158;235.0
2159;660.0
2160;1449.0
2161;800.0
2162;690.0
2163;690.0
2164;800.0
2165;1911.0
2166;800.0
2167;265.0
